text,label,Unnamed: 2
i enjoyed the film  and the fact that it aimed rather high in dealing with some sophisticated material  i saw the film in a preview screening  and it wasn t ruined by any silly video boxes that spoiled the ending  the performances were quite good  especially andrew mccarthy in a more mature roll  i also enjoyed the look of the film which gave it a mysterious  forboding air  i also enjoyed some of the  twists  in the plot  and don t want to give too much away in case other countries  video boxes don t give it all away  the script was a little over the top at times  but i appreciated the fact that the film makers weren t afraid to challenge the audiences with interesting and puzzling questisons regarding the roll of faith in our world  and  while some might find the ending a little too open ended  i appreciated the fact that the movie refused to tie everything up neatly with a bow  that s not how life works,1,
alfred hitchcock shows originality in the remake of his own      british film   the man who knew too much   this      take on the same story is much lighter than the previous one  mr  hitchcock was lucky in having collaborators that went with him from one film to the next  thus keeping a standard in his work  robert burks did an excellent job with the cinematography and george tomasini s editing shows his talent  ultimately  bernard herrmann is seen conducting at the magnificent royal albert hall in london at the climax of the picture   james stewart was an actor that worked well with mr  hitchcock  in this version  he plays a doctor from indiana on vacation with his wife and son  when we meet him  they are on their way to marrakesh in one local bus and the intrigue begins  his wife is the lovely doris day at her best  she had been a well known singer before her marriage and now is the perfect wife and mother  the film has some good supporting cast  brenda debanzie  bernard miles  daniel gelin  alan mowbray  among others  do a great job in portraying their characters   although this is a  light hitchcock   one can t dismiss it as a failure   the man who knew too much  is a change of pace for hitchcock s fans,1,
my family and i normally do not watch local movies for the simple reason that they are poorly made  they lack the depth  and just not worth our time   the trailer of  nasaan ka man  caught my attention  my daughter in law s and daughter s so we took time out to watch it this afternoon  the movie exceeded our expectations  the cinematography was very good  the story beautiful and the acting awesome  jericho rosales was really very good  so s claudine barretto  the fact that i despised diether ocampo proves he was effective at his role  i have never been this touched  moved and affected by a local movie before  imagine a cynic like me dabbing my eyes at the end of the movie  congratulations to star cinema   way to go  jericho and claudine,1,
the lovely  yet lethal alexandra  stunning statuesque blonde beauty stacie randall  who looks absolutely smashing in a tight black leather outfit  must find a magic amulet so her evil demonic master faust can cross over into our dimension  it s up to fearless  rugged cop jonathan graves  likable peter liapis  to stop her  meanwhile  two pitifully unfunny  comic relief  dwarf gnome creatures run amok in los angeles  seasoned veteran schlock exploitation expert jim wynorski relates the supremely inane story at a brisk pace and takes none of this foolishness remotely seriously  the cast struggle gamely with the silly material  the adorable barbara alyn woods as sassy  fetching police captain kate  raquel krelle as tart  sexy hooker jeanine  bobby di cicco as graves  bumbling  excitable partner scotty  peggy trentini as alluring museum curator monica  and ace mask as the jolly dr  rochelle  mark stevi s puerile cookie cutter script  an amusingly lowbrow sense of no brainer humor  chuck cirino s bouncy cornball score  the two dwarf guys sporting obvious cheap rubber halloween masks  j e  bash s plain cinematography  no tension or gratuitous female nudity to speak of  and the tacky  less than  special effects all further enhance the overall delicious cheesiness of this prime slice of celluloid velveeta  an entertainingly brainless piece of lovably lousy dreck,1,
one of the two best films of the year  a well filmed  well written  well put together film with an outstanding cast  lau ching wan and his friends  dayo wong chi wa  anthony wong chau sun  francis ng chun yu  jordan chan siu chun  cheung man tat  had great chemistry before the film and their friendship shows in their performances  theresa lee plays her comedic role well  though much like a female version of michael wong  her gag seems to be the foreign born chinese surrounded by native hkers    and i found myself cheering for innovative explosive scenes  something i haven t done since    the fan boys took over alt asian movies and    john woo s hardboiled  sure the ending was expected  but i feel better cheering for cops than a bunch of young gang members  highly enjoyable,1,
when commenting on this film  one must realise that it is based on a true story  and must therefore be reviewed for the quality and accuracy of it s portrayal of the events  as well as its entertainment value  it may well be implausible that jack shepherd should surrender twice to jack wild because wild had captured edgeworth bess  none the less  it happened  it must also be noted that the director was young and inexperienced  which explains why he relied upon tried and tested techniques  there were occasions when clavell did not have the confidence to follow the script as written  the film would be better if he had  and yes  i used to have a copy of the script  stanley baker s copy   one of five   which i returned recently to my father  rafe newhouse  the writer,1,
i somehow managed to make it all the way through this movie  but was dumbfounded by the complete lack of entertainment delivered  my friends and i are fans of hk film  but wow  this movie has it all  and by all i mean everything a movie shouldn t have  underdeveloped and stereotyped characters  way over the top overacting  cheesy special effects  talking robots  no less than    double foot jumpkicks  impossible situations  unfunny  gags  and  jokes   elementary school premise  mindless killings  and too long running time for the material  throw in the fact that gen x cops was a decent film and this movie becomes even harder to bear  quite simply  if you re entertaining the idea of watching this film   don t,0,
holy cow  what a piece of sh t this movie is  i didn t how these filmmakers could take a     word book and turn it into a movie  i guess they didn t know either  i don t remember any farting or belching in the book  do you   they took this all times childrens classic  added some farting  belching and sexual inuindo  and prostituted it into a kaka joke  this should give you a good idea of what these hollywood producers think like  i have to say  visually it was interesting  but the brilliant visual story is ruined by toilet humor  if you even think that kind of thing is funny  i don t want the kids that i know to think it is   don t take your kids to see  don t rent the dvd  i hope the ghost of doctor suess ghost comes and haunts the people that made this movie,0,
i do not find this show at all funny  i actually think it is much worse than any of the other terrible disney channel sit coms right now  charlotte arnold is an interesting choice to play sadie  because she can t act  the jokes on this show are terribly unfunny  and it makes it even worse when the only cast member that has a little bit  and i mean little bit  of acting talent is justin bradley as sadie s brother hal  jasmine richards and michael d ascenzo portray sadie s friends  there both really stupid and just terrible actors  two words that can really describe this show is terribly corny  it s corny humor that only little girls find funny because their brains have not developed yet  now i ve explained my hatred for the acting and the horrible humor  what s next  the whole premise of the show is a stupid idea  she changed again  not so sciencey an ben loving  and suddenly nobody recognizes her  it s moronic  in summation  i hate this show  however little girls who do not have a concept of funny will enjoy it  so i guess that s what they re going for over quality  although i can say as much as  the first season is clearly better than the second   bottom line  just don t watch any of it   my rating  awful show  tv g     mins,0,
after all these years  of peter o tool s brilliant  costly giving of his soul  film after film  at last  hollywood tosses him an oscar recently   country dance showed up one night late  and of course  blew me out of my complainant niche in my alleged  life   how does he do it   york again also is brilliant in this kind of play  both psychological battleships loaded for bear      bravo to author  director  cast  and camera crew  no wonder the nazi s lost to these irish  scot  english blends    brutal honesty hurts   back in the    s  when i personally believed  honesty  was pure and absolutely vital to trust  i have modified my edgy extremes  and will settle for more human  warm flaws within myself and others   forgiveness allows humanity to have a reverse gear  and allows us to fix our own bull headed egos and erotic mistakes,1,
this is a great example of very none hollywood film making which is very thought provoking  moving and not without a sense of humor  kevin mckidd and paula sage are superb    i actually watched it on late night tv and i can see why i missed it in the cinema  its not the sort of film that the multi screen  mega  cinemas show nowadays  mores the pity    i am going to look for the dvd  not for those who prefer  the current trend towards special effects and no story  if you liked the best selling book  the curious incident of the dog in the night time   you ll enjoy this film    this film ranks beside the best of scottish films  such as  small faces  and  trainspotting   all films which kevin mckidd also star in    highly recommended,1,
this film  winning im kwon taek the best director at cannes in       tied with p t  anderson for punch drunk love   is about a   th century korean painter with a commoner s roots and significant impact on korean painting  one of the strengths of the film is that im tries to help us see with the eye of a painter  so we see multiple scenes and objects which help our drunken painter friend  jang seung up  choi min shik   receive inspiration   the costumes and the art direction are all impressive and the acting is even along being good  it s not a movie that moved me  but it was one that made me think about art and what it means to find your own voice in it  that s pretty cool  it s also interesting to see a version of korea during those times right before the turn of the century  where chinese and japanese powers are both in korea and the chosun kingdom is coming to an end  more than one revolution and political ideology are gathered in the film  but are never the center  it s firmly on the painter   in the end  it s a well made film about the life of a painter  but it doesn t exactly have the regular three act structure plot  so you have to be able to take a non standard hollywood story to watch it  yay for art,1,
wow  we watched this film in the hopes that it would have at least some decent rock climbing scenes  we were disappointed there  but it was still a great movie  it was soooo cheesy it was great  i haven t laughed so hard at a movie in a long time  if you are into rock climbing  and you enjoy cheesy movies  then this one is absolutely for you,1,
it s supposed to have got good reviews  says the g f  if so  i can t find them  she goes off to sleep and i endure  michael douglas as a good ol  boy   now there s a new one  matt dillon all screwed up  john goodman losing his cool  paul reiser running around in bdsm leather  oh it s a riot all right   the hitch is you re probably going to lose interest pretty soon on  liv tyler plays the femme fatale and critics complain she might not have the register for her part  but it s immaterial  this movie is not about character development  in fact i d go so far as to say there s no character at all  what you re supposed to appreciate here is the plot   no one is  bad  in this movie  some people wonder why all these  stars    reba s even in here for goodness sake   sign up for such a junky project  odds are they thought it would be fun  maybe they did have fun  who knows  hey   maybe they got paid good too   but you have to fork over money one way or another to see this turkey  and that s probably not a good idea,0,
loved today s show    it was a variety and not solely cooking  which would have been great too   very stimulating and captivating  always keeping the viewer peeking around the corner to see what was coming up next  she is as down to earth and as personable as you get  like one of us which made the show all the more enjoyable  special guests  who are friends as well made for a nice surprise too  loved the  first  theme and that the audience was invited to play along too  i must admit i was shocked to see her come in under her time limits on a few things  but she did it and by golly i ll be writing those recipes down  saving time in the kitchen means more time with family  those who haven t tuned in yet  find out what channel and the time  i assure you that you won t be disappointed,1,
submerged is definitely not  the worst movie ever   it does have its flaws  such as borrowed footage  crazy script and non existent special effects  these are the worst   but it also has some good points too  the acting is surprisingly good  there are lots of familiar faces whom you probably know if u re a b movie fan like me   i was very glad to see brent huff playing one of the heroes  knowing him mostly for his    s action films  and i must admit  he is not a bad actor at all  fred williamson  maxwell caulfield   tim thomerson get some limited screen time  but are believable in their parts  the  eye candies  in this fred olen ray movie are yvette nipar and nicole eggert  both looking very sexy and very mean  michael bailey smith adds some muscle to the background as a navy seal  unfortunately the only cast member who  in my opinion  is completely out of place is coolio  he doesn t act at all  talks like he didn t even read the script  and being a badass in the beginning of the movie  gets shot like a wimp a hour later  not a good choice   to sum this movie up   this is not such a bad choice for late night entertainment  if you can get over the special effects thing  so many guns  so much fire  and not a single wound on anyone   coolio s annoying performance  and the recycled footage from airport     you might like this no brainer after all,0,
two years after its initial release  goldeneye still sits atop the field of first person shooters for the nintendo     even the quake and turok series have not had the combination of graphic detail  sound quality  enemy intelligence  challenge and overall fun that bring me back to this game over and over again  the missions each have specific objectives that force you to think as bond  not just to shoot up every baddie that pops up on your screen  but also to avoid cameras  disable security systems  rescue hostages  protect the bond girl  and so on  q gadgets abound in this game  including the famous watch  the game is loosely based on the movie storyline  including all the major characters and the best scenes of the movie  from the dam bungee jump to the prop plane escape to the tank chase through st  petersburg  even the layout is preserved where possible  so you ll recognize various situations if you ve seen the film  other levels are added to challenge the player and string together the scenes a little more  with each difficulty level the mission objectives are more difficult  the enemies smarter and the bullets more lethal  i still have not gotten through the    agent levels  cheats can be opened  not by entering codes or pushing buttons  but by completing certain levels within a certain time frame  and additional characters can be opened up for the multiplayer  the multiplayer is still the best among the first person shooters  it s not as crisp as turok but it doesn t slow down nearly as much    tons of options give your friends reason to blow each other up over and over again  and one more time just for kicks  there are better games for the n    such as zelda and all things star wars  but rare has continued their streak of outstanding games with a first person shooter that has not and will not be surpassed until they top themselves in      with perfect dark,1,
i have always been a huge fan of  homicide  life on the street  so when i heard there was a reunion movie coming up  i couldn t wait   let me just say  i was not disappointed at all  it was one of the most powerful   hours of television i ve ever seen  it was great to see everyone back again  but the biggest pleasure of all was to have andre braugher back  because the relationship between pembleton and bayliss was always the strongest part of an all together great show,1,
exceptional movie that handles a theme of great proportions with a very well balanced direction  dmytrik was a very good director  at least from what i can tell from this movie and murder my sweet but he was seriously affected by the huac as other movie directors and actors  it is in a way ironic that crossfire received no oscars  because it is exquisite example of how to make a great film on low budget  everything about this movie is exceptional  a well written script that makes use of extensive flashbacks  a great cast  superb lighting that seems to tell the story more than the actions proper  what more can you expect from a top notch movie  might i add that noir is here used for its stylishness  and i might add financial advantages  but this proves once more that what was originally deemed a b movie can have more impact today that most of the heavy handed a movies that lost their audience with the passage of time   this film is not a noir movie per se and this rises serious questions about what noir actually is  the style is definitely noir  in terms of sets and especially lights but the theme surpasses the recipe of the  noir genre   you can see things from the opposite perspective and claim that anti semitism is only a pretext for the criminal investigation  the puzzle around the murder being the actual focus  this would have been the case had it not been for robert ryan in an outstanding performance  either way  the movie has a lot to offer and it is truly a pity that the director had to suffer so much iniquity for his former beliefs in a really  noir  period of america,1,
this film is my favorite comedy of all time and i have seen a lot of comedies first of all i should not this film had no script just a storyboard the dialogue is almost completely written by the actors which makes this film absolutely hsyterical the cast is one of the best comedic ensemble s you will ever see the story is about the mayflower dog show in philadelphia and some of the contestants in them parker posey shines and is absolutely great this is one of those films that most of the laughing comes from the absolute pathetic ness of the characters,1,
where to start with  speck  the true story of richard speck  a killer of eight nurses in the     s  director keith walley has worked on a few of the extremely low budget full moon releasing movies  such as birth rite  and here works from a script by  at the time  full moon regular don adams  unfortunaly whilst the film seems like a accurate portrayal of the horrendous crime the script isn t great  perhaps because the real speck s ramblings were not terribly interesting   despite the care that has been taken to make this authentic it wreaks of a cheap cash in of the acclaimed cinematic serial killer movies of the same period  such as  ed gein    filmed in a dirty brown  not quite sepia  for the most part and narrated by star doug cole the film fails to present the horror of the crime because the narration is irritating  the colouring distracting from the story and the crime  though gruesome and upsetting to watch  is merely that and no editorial work seems to have occurred on what is pretty much a very poor quality camcorder viewing on the events  there is no examination of the motivation or of speck s life really  just a cheap shot at a gruesome crime  released by full moon there is little evidence of full moon s better output here  charles band ignoring his own rule that his films feature fantasy killings  e g  dolls  monsters and so on  and not quite knowing what to do with this new reality  incidentally band introduced a special label for these films called  shadow entertainment   band has said that he regrets the period of full moon output alongside tempe entertainment  whose creator j r  bookwalter and regular danny draven also speak very badly of charles band   the tempe era features uniform apple mac editing and brutal hand held camera filming  very much like a home movie  speck retains these qualities and whereas witchouse    for example  managed to use these well  speck is merely boring and gross,0,
what is wrong with curacao   also known as deadly currents though what the reasonn for the name change is i have no idea   can probably be summed up where a woman says to her lover      keep it down baby   i m trying to sleep     it s not the dialogue that s the problem or the way it s delivered   it s the fact the actress has has a central european accent   nothing wrong with that until it s revealed her character is from philidelphia in the united states   this what struck me about this thriller while watching it   the way accents don t match their characters   apart from the philly woman with a german accent we see a south african with an english accent   a local police chief who sounds like he s an irishman impersonating a gestapo officer and worst of all george c scott playing someone who s either dutch or british with an accent that sounds like it might be american tinged with south african   you soon give up following what s on screen and end up concentrating on what nationality a character might be due to the strange way they speak   it s interesting to note that this site hasn t given this movie a country of origin   with so many different actors from different countries you do feel that this was produced by the united nations   even if you re not curious about accents or dialects you ll probably have to give up following the action anyway because curacao is plot less   things happen like a boat exploding   and a hostage situation and the hero being recruited as an agent for south african intelligence but you re left scratching your head wondering what the heck this is all leading to   i was lost,0,
it s a horror story alright  but perhaps not as you know it  the real monsters in this flick are humans  while the monsters  are human and prey  as weird as that may sound i see this as  monsters inc  for horror film fans   sure  the effects are of a std horror film  the monsters are there as in any monster based film  the gore is there as well  there even is a slasher in the shape of dr decker  played by david cronenberg  i see flash of cillian murphy as dr  jonathan crane in batman begins here   or is it the other way round    and it is decker  c who are the bad guys  the monsters want mainly to mind their own business  warding off intrusive humans more or less misguided  wanting to join there society   by the end of the film you actually grow to like the quite little monsters  and the dog    not perhaps what you had expected from the first few scenes,1,
i love das boot  i hoped for something along similar lines    a realistic war movie  portraying soliders and civilians on both sides as real people  with both the joy and pain of combat   unfortunately  stalingrad appears to have been written by a third grader and directed by a fifth grade student  major pieces of the movie simply appear missing  leaving it completely disjointed  the dialogue in translation is ridiculous  but appears no better in the native tongue  you only have to watch the actors  faces during the bad moments of dialogue to realize just how bad this movie is,0,
from reading the back of the box my first thought was that this is probably a knock off of saw    i couldn t be further from the truth  it seemed to me like they gave somebody with downsyndrom a camera phone and        and told them to make a movie  the plot didn t exist and neither did the acting  it was almost as if i was watching a silent film about grass growing  it didn t surprise me at all to find out later that the entire film was  improvised   by the end of this  film  i had lost the will to live and i may have gotten aids just from viewing this piece of cinematic crap  it was about    minutes that i could have spent doing something that was less painful  like jumping off of a building,0,
if you find the depiction of violent murders and wanton police brutality expressed in a plot less film with glacial pacing entertaining  then you re bound to enjoy surveillance  this film was garbage for both the mind and spirit  the notion that this is a  thriller  is comical  that would imply some kind of tension and twists  you kept waiting for the story to actually finish  starting   it never rises above a glorification of weak minded violent criminals and individuals from all walks of life  picture all of the violence of  no country for old men  without any kind of chase or sympathetic characters  thrill killers run amok  the acting is good  mostly  but the script is a pile  don t bother  and tell your friends to don t bother,0,
text taken from      melbourne international film fest guide   fuckland the title is a pun based on the film s lead actor fabian stratas  deliberate mispronunciation of falkland  a reference to the film s setting and a rather less than subtle allusion to the secret agenda of its protagonist   fabian is an argentine national  an amateur magician passing himself off as a tourist visiting the falklands soon after it is reopened to its people  his master plan is to win the ultimate struggle by seducing and impregnating the local females  commencing with the delicious camilla thus siring an entire generation of half argentinians  fuckland creates the illusion of a documentary and maintains a fish eyed perspective that gives the film a voyeuristic flair and intimacy   argentina,1,
ok  so this film may not have won any oscars  but it is not a bad film  the original  d o a   is undoubtedly a better film  but that does not mean this film is bad   the film stars dennis quaid in one of his early roles  when he was first becoming really famous  after  the right stuff  made him a star  and a very lovely looking meg ryan  when she was still now quite famous   this is more of an  update  of the      film  rather than a remake  since the setting is different and the characters too  are different  the plot is pretty much the same  a man  this time an english professor at the university of texas at austin  is poisoned and he has only    hours to find out who poisoned him and why  meg ryan plays a young college student who tries to help him  jane kaczmarek plays quaid s estranged wife  in a low key  but intense performance  she steals every scene she is in  daniel stern  also in an early role  before  home alone  made him famous  plays quaid s colleague  charlotte rampling is fine too in a supporting role   the entire cast is top notch  the film is stylish  with a quick pace that keeps you guessing until the end    i think this is a film that is certainly worth watching as a thriller  and as a modern version of a classic film,1,
cover girl is the best musical rita hayworth ever made  ms  hayworth will always be remembered for  gilda   however  the next movie would be  cover girl   the story is great  it is about a dancer who wants to be a cover girl and makes it big in show business  she does it without the help of her talented dancer director boyfriend  gene kelly   mr  kelly is given the chance to choreograph the musical numbers  the dances are spectacular  it is fun to see phil silvers  a comic  do the musical numbers with ms  hayworth and mr  kelly    the supporting cast is perfect  lee bowman is given a chance to be an interesting third wheel  the other boyfriend,1,
i remember watching this when it was made and thinking it was brilliant at the time  watching it for the second time nearly    years later  i still think traffik is brilliant and much better than the us film that was based on this drama   it should also be watched by all our come today gone tomorrow politicians who think they can win the war on drugs  as the issues raised in this film are as pertinent today as they were back then at the end of the   s  and unless they change their policies  will be so in another    years   well written  well made  beautifully acted and superbly filmed  a thought provoking drama that entertains as well as brings to light some of the hard realities of the criminal drug trade,1,
i am sorry to see that surface has not been picked up for the nbc           season  i guess market demand for inane game and reality shows on broadcast television  a reflection on our sense of culture  has conquered a good story  i hope and pray that some network picks it up so it will continue on as does stargate and it s spin offs   i also hope the producers find a venue where they can produce the level of post production they wished for in a tv guide interview  right now the reruns on sci fi  marathons  will have to do  i for one would love to see where the story goes after the tsunami that ended episode     i would like to find out the mastermind of the efficient effort to obfuscate the real identity of the creatures   fyc morningbear,1,
directed by e  elias merhige  begotten  is an experiment with a few interesting ideas that don t quite succeed in what they were trying to do  the film is a    minute ultra slow  questionably effective  irritating experience that tries to present an intriguing philosophy about the creation of the earth and human nature   it opens with god presented as a chair bound psychopathic man who tears open his stomach using a knife  from the guts  blood and human waste mother nature emerges  she proceeds to impregnate herself with the dead god s semen  later she gives birth to the son of the earth  a retard who is constantly abused a group of cannibalistic people whom i believe to be the representation of mankind    begotten  takes a twisted and disturbing look on the origin of life  demonstrating the self destructive nature  violence  lust and greed that have become a trademark for mankind  the problem in the movie come from two points  one is that the film is just too slow in it s exhibition  what we get is a good thirty minutes spent on showing how the son of the earth is constantly shaking naked on the ground while at the same time being molested and tortured by mankind  such tasteless prolonging gets boring pretty fast and lacks the punch in delivering a blow to the viewer s senses   another point is  beggoten s  visual appearance and sound  the grainy  inverted  black and white low frame cinematography enchants the disturbing factor of the plot  but such novelties often work in only short periods of time  then gradually begin to lose their effect as the audience becomes accustomed to the look  the audio suffers from the same problems  it s constant repetitive and similar sounds become annoying so fast i had an urge to turn off the volume   begotten  loses it s charm shortly after it begins  it tries to be original and creative but it fails to expand on the ideas hinted by the vague plot instead it repeats the same scene again and again   the conclusion is that  begotten  is stuck in one moment  even though plot wise it tries to move forward  the visuals and audio remain the same throughout  showing the same action in a slightly different way with just slightly a different sound  a gimmick cannot alone make a movie  it also needs pace and variety  something merhige seems to have forgotten,0,
i loved that the mood was light and airy  i loved that the lead character wanted guarantees about his future  and that his roommate sets him  straight  of all people  i loved that they tackled the dynamics of how the members in the men s group dealt with each other  considering this was directed by a lesbian the whole theme of masculinity was put out there  ridiculed  dissected and questioned  what makes a man  what makes one straight  gay  or bisexual  you aren t really sure if our lead character has decided on who he really wants  he s living in the moment and thrown caution to the wind  these  and other reasons  make me love this film,1,
there s a spartan  unsentimental edge to this film that allows plenty of room for us to participate in the action without any stylistic encumbrance telling us how we re meant to be feeling  in  blue   everything was overtly sad  sure  powerful as hell  but still   in  white   it was delightful whimsy  but there are no such emotional clues  or cues for that matter  in this one  it s as if he finally let the force of the tale work its own magic without razzle dazzle embelishment  i think that s what makes it the most initially enigmatic of the three  but finally  the most transcendent and redemptive  never has remorseless  unsparing honesty been quite so beautiful,1,
spoiler warning  we ve all heard the  boy who cried wolf  legend  but what if the wolf was a person in the modern world  well it might be something like big fat liar  fourteen year old jason sheperd   frankie muniz from  malcolm in the middle    is always lying to keep himself out of trouble  one day he is pressured to write an english essay  but it winds up in the hands of sleazy film maker marty wolf   paul giamatti   who plans to turn jason s story into a hollywood blockbuster  no one believes jason when he for once tells the truth and he ends up in summer school  however jason is determined to prove to his parents the truth and travels to l a  with his friend kaylee   amanda bynes    when wolf refuses to admit he ripped off his story  jason plans to make wolf s life a living hell  b f l  is no masterpiece but it s a nice way to spend    minutes of you re time  i wished they could ve made it a bit longer though and there aren t that much pranks although they are clever enough   i like the pool dye the best    i might not have liked this as much as i do if it weren t for paul giamatti  he is simply hilarious in this  if you have    minutes to kill try this out  you might just enjoy it,1,
