text,label,
"Cooley High was actually a drama with moments of comedy. It was a reflection of high school life back in the day. I attended Coolidge High in Washington, D.C. from 1976 to 1979 and much of what was in Cooley High was an every day thing at Coolidge. As a matter of fact after the movie came out everybody started calling Coolidge ""Cooley High."" Getting high, shooting dice, chasing girls, basement parties, and fights, that sums up high school life for many in D.C. back in the day. I can't forget Motown because Motown music began and ended many a day back in the 70s. The hits just kept coming. However, Cooley High adds a layer of humanity over the craziness because when all was said and done just like in Cooley High my classmates and I had a lot of love for each other. And like the characters in Cooley High there was life after high school, but there was nothing like waking up every morning and experiencing each day to the fullest from homeroom to seventh period. Thirty years later we are getting ready to celebrate those good times. Cooley High is definitely a period piece that just gets better with time because like it or not the only thing left from those days are memories, some good, and some bad.",positive,
"Gilles Mamouni is playing with the audience with the story of Max (Vincent Cassel) in search of his biggest lost love (Monica Bellucci) just before to get engaged to another woman. Mamouni uses many flashbacks sequences without warning so the best way to know where we are in the story is to watch for the actor's haircut. Oherwise it can get very confusing... Still a strong film debut for Mamouni, beautifully photographed by Thierry Arbogast (the 5th element, the Messenger), and Monica Bellucci is a darling to watch ... I felt a little disappointed near the end so I gave it 9 out of 10.",positive,
"This is a fabulous film.   The plot is a good yarn, and is imaginatively told in a series of flashbacks and alternative points of view. What was deliberate, and what was coincidence? Who is in love with who?   You get the chance to put yourselves in the shoes of each of the characters in turn (sometimes literally), and this helps define each character to a satisfying depth.   With a bit of effort following the twists and turns, you can understand each of the characters; and key events in the film are reshot from the point of view of different people.   Take the opportunity if it comes again to your arthouse cinema; it looks good on the big screen.   More than keeping you guessing, the plot twists to such an extent that you just sit and watch what unfolds - I defy anyone to predict!   But more likely you will need more than one viewing - I saw this at the pictures on its original release three times, and it got better each time.   The acting was very good, with a standout performance by Romane Bohringer as Alice torn in three directions by the three other characters in the ensemble.   A classic. The second-best film of the 1990s.",positive,
"This is a great example of very none Hollywood film making which is very thought provoking, moving and not without a sense of humor, Kevin McKidd and Paula Sage are superb.   I actually watched it on late night TV and I can see why I missed it in the cinema, its not the sort of film that the multi-screen ""mega"" cinemas show nowadays, mores the pity.   I am going to look for the DVD. Not for those who prefer, the current trend towards special effects and no story. If you liked the best selling book ""The Curious Incident of the Dog in the Night-time"", you'll enjoy this film.   This film ranks beside the best of Scottish films, such as ""Small Faces"" and ""trainspotting"". All films which Kevin McKidd also star in.   Highly Recommended.",positive,
"The plot of this movie is as dumb as a bag of hair. Jimmy Smit plays a character that could have been upset by the ridiculousness of the story. He is evil and a wife beater. It's a character as far from his NYPD and LA Law roles as you could possibly get.  If you've thought he had the looks and the acting chops to play the really bad boy role, her's your present.  But!!!!!!!! Mary Louis Parker wears black miniskirts and little black minidresses throughout the movie.  She has always had some of the greatest legs in the history of the movies. This makes the movie well worth it for this leg admirer.  I'd buy the DVD for this reason only if it was available.",positive,
"When I saw this on TV I was nervous...whats if they messed it up? Millions of families like mine that live with a brain damaged man, in my case my Dad, would be let down. I watched it with my Mum and we both ended up crying, it was so accurate and captured how the family feels as well as the person having suffered the brain injury. The actors were all wonderful and I had no complaints, my Mums told me she hasn't been able to stop thinking about it. I hope this program made many people aware of what it's like living with brain damage and what it's like for the families. More programs like this should be made, I was surprised at how good it was and it's really shook me up emotionally.",positive,
"American-made final entry in the ""Blood Island"" series of Filipino horror films concerns Abdul Amir (Reed Hadley), ruler of a fictional country. He dies of cancer, yet it's figured out how to bring him back: put his brain into a donor body. The mad doctor in charge (Kent Taylor) puts it in a highly unlikely body: the facially scarred giant manservant named Gor (John Bloom). A doctor friend of the ruler tries to remedy matters and put an end to the mad doctors' plans.  Film-making partners Samuel M. Sherman (producer) and Al Adamson (director) corral several actors they've worked with before, including Taylor, Adamsons' sexy wife Regina Carrol, Angelo Rossitto, Zandor Vorkov, and Vicki Volante. They tried to go for the feel of the previous ""Blood Island"" entries but one can tell this was made stateside. While not necessarily a ""good"" film, it's got a bunch of amusing elements to add up to an entertainingly trashy whole. A malevolent dwarf (Rossitto), gory operations, a rather unconvincing makeup job on Bloom, the political intrigue subplot, caverns full of cobwebs, etc. The narrative is actually pretty coherent, with plot twists thrown in here and there. I think it could have been trimmed a bit; some scenes drag. But it's got its fun moments and an ending people might not expect.  For this kind of thing, the acting isn't too bad. Both Taylor and Rossitto are fun; the latter seems to be having quite a good time in his role. Volante is appealing enough, and Williams is O.K. in the heroic role. In any event, it's nice to see all of these familiar faces in one of these films.  Absolutely nothing special, but as a trashy B ""horror"" (I use the word loosely, none of this is exactly scary) film, it certainly amuses.  7/10",positive,
"This production was quite good. The usual fabulous scenery, interesting, quirky characters. It was just so strange not to have Captain Hastings, Miss Lemon, and Poirot's office/residence, so prominently featured in the original PBS/BBC mysteries.  In the original series, so much took place at the office. Hastings reading the paper, while Poirot ""exercises his little gray cells."" Miss Lemon pitching in whenever needed.  Poirot without Capt. Hastings would be like Holmes without Watson ... he can most certainly solve the crime, but it is not as interesting.  And what would a Poirot mystery be without Hastings, with his impeccable manners, falling for some beautiful, unattainable woman.",positive,
"As most other reviewers seem to agree, this adaptation of 'After The Funeral' is very good indeed. Always one of my favourite Poirot stories I was worried that it might be 'messed about with'. Well, it was a little bit but ONLY a little bit and the end the result was thoroughly entertaining. David Suchet continues to be well nigh faultless as Poirot and (as others have pointed out) the other star of this show is Monica Dolan who surely could not be bettered as Miss Gilchrist. I also really enjoyed Fiona Glasscott who was spot on as the cutting Rosamund Shane but really, the casting was quite impeccable throughout!   One point is knocked off for the adaptors not being able to resist cramming too many revelations into the final fifteen minutes. The business with the will and house deeds was all a bit unnecessary although I didn't mind how they tightened up the structure of the Abernethie family (in the book the family tree IS really quite complicated). The final moments when the murderer is revealed however are really incredibly well done and I found the very end, when they all leave Enderby, quite touching. This is really one of the very best of the Poirot series so far.",positive,
"i totally loved this movie, tried to buy it and can't find it. a must see, a movie you can watch again and again, funny but also a tear jerker in one. really good album for the movie. it's a really good 80's movie, i wish i could find a copy to buy this movie, cause i would,the actors in it acted really good.there's a lot of people out there that probably could relate to this movie.that's what makes this movie so good. so go out and try to rent this one, you won't regret it. it's an older movie but it's worth watching, i would not be surprised if they made a remake of this movie soon, but i'm sure it would not be the same. anyone who hasn't seen it, go rent it.",positive,
"as i said in the other comment this is one of the best teen movies of all time,and one of my personal favorites. to me this movie is the second best teen movie of all time. second only to the breakfast club. the last american virgin is also maybe the most honest teen movie of all time. it's underrated,and pretty much an unknown movie to a lot of people. it comes on TBS maybe once a year,but sometimes longer. the first half of this movie is a sex comedy with a few honest scenes. then the second half is pure honest,and most of the time serious. with only a few comic scenes. in my opinion this is the best soundtrack of all time. i've never heard this many great songs in one movie before. there are 4 love songs in this movie that i think are some of the best love songs in history. the movie is about a pizza boy named gary who is a virgin. hes in high school who has a couple of best friends. his two friends are sex-sarved teens. the first half of the movie is pretty much sexual misadventures. that are very funny. gary is major in love with the new girl in school. he later finds out that his best friend is going out with her. he also cheats on the side. you can feel the love gary has for this girl very much. you can feel it even more in the second half. gary's friend turns out to be a creep. but his other friend is pretty cool. the movie shows how mean people can be. you can relate to a lot of this movie. the plot sounds like your typcial teen sex comedy. but it's so much more than that. it's a very honest movie. it's also very 80ish which i love. if you love the 80's or grew-up in the 80's,rent this movie. but there may be some people that don't like the 80's,but still may like this movie. i first saw this movie back in 1987 i think. it's very entertaining,and very funny. it combines very touching moments with very funny moments. it's an underrated gem! i have the movie. i love it! i give the last american virgin ***1/2 out of ****",positive,
"Feels like an impressionistic film; if there is such a thing.  The story is well told, very poetic. the characters well developed and well acted by the interpreters (or interpreted by the actors :)).  The film delights in its own sumptuous emotions at times and works well, unless you hate such emotion in movies - not so in my case.  It's a very humanistic film.  The landscape and even the extraordinary situation of the displaced cook are very poetic in their own right.  Well done.  A good classic for any good film collection.",positive,
"this is one of the finest movies i have ever seen....the stark scenery...the isolation...the ignorant bigoted people hiding behind their religion...a backdrop for some wordliness and sophistication...the acting is completely natural...but for me as a""foodie' the best is the actual choosing and preparation of the feast..i have spent time in paris and know the cuisine well...whether or not the cafe anglais really exists i don't know but i do know of similar establishments and babette's menu and choice of wines are authentic...and of course the end where despite themselves the perfect meal mellows them back to friendship is the only ending there could be..this is a 10 out of 10 film and should be seen by anyone with enough brain and taste to understand it",positive,
"It has started quietly. If your are looking for an action-packed movie this is absolutely not the right choice. All characters are slowly depicted on the scene. Stroke after stroke on the scene canvas. None can take away his hands to the priest and so the sisters lifespan devotion can only remain into the village. Philippa and Martina know their destiny, belong only to the village. So when you understand that, you are on the movie scene, in the village that becomes the whole known world in that time. When, no technology can let you imagine anything else than the campaign, the village, the sea. You feel the rhythm of that ancient village's life. Watching the movie in a cold snowy late afternoon can cause you to approach this evening dinner with some sumptuous expectations ...  The final sentence that give a title to Babette's sacrifice far from Paris: An artist is never poor.  Superb photography. Many situations depict portraits and landscapes as they were styled on canvas there, in Jutland, in 18th century.",positive,
"In post civil war America the President, (Van Johnson), travels to Dallas and is assassinated by corrupt officials and businessman interested in installing the vice President whom they can blackmail due to incriminating documents. A gunman (Guiliano Gemma) convinced that his black friend is wrongly accused of the assassination aims to uncover the truth. Tonino Valeri directed this fascinating, if flawed film which obviously is an allegory for the Kennedy assassination. The film may wrongly present blacks as slaves working on plantations in Texas but the film is nonetheless enjoyable and presents an interesting interpretation - that Kennedy's death was the result of a coup de tat- which many Americans could not accept at the time. Oswald's murder is replayed here as the black accused of the assassination is murdered by the men responsible, on route to Fort Worth prison. This moment in the film is more melodramatic than Oswald's death with his various escorts shot down before his over the top death scene. Nonetheless this is definitely one of the more interesting and worthwhile spaghetti westerns. Worth a look!",positive,
"I adore the Ln Chaney version of ""Phantom"" and I appreciate Webber's version if only for the growing interest in the book, wish I find more of a mystery slash horror with the romantic aspects downplayed. I don't approve of the fact that Andrew Lloyd Webber made the relationship between Raoul and Christine less restrained.  Luckily since this is a comedic short with only Erik and Christine this version doesn't even have to bother with any other characters.  I thought I would still be waiting for another version to match up Lon's performance. I was dead wrong. Leslie Nielson is fabulous as Erik though, of course this is a spoof. It's still brilliant.  I especially appreciated the fact that Erik looked more like a living corpse than an accident victim. I still have as of yet to see a Phantom like that, other than Lon's.  However, I do not recommend this short if you don't like spoofs. Because this is in no way supposed to be taken seriously.",positive,
"I just got this movie for Christmas and have already added it to my favorites list. A cute and simple story which makes a beautiful movie. Who could not love Uncle Felix or not have their mouth water at the sound of all that food. Definite points go to Sydney Greenstreet for his performance of Alexander Yardley and also to Reginald Gardiner who played John Sloane, the impossibly boring fiancee. Truly a gem to be watched every Christmas.",positive,
"This is another case of Hollywood Arrogance presuming to eclipse French Style. The original, Mon Pere ce heros, was one of the most charming films of 1991 so naturally the accountants in Hollywood thought they could hire Depardieu and phone the rest in. They did, however, take the precaution of hiring Francis Veber to write an English version albeit one utilising virtually every word of the original. Depardieu brings his Gallic charm and Katherine Heigl shows all the promise that is now paying off. The thing is that when the French make a sort of Lolita-lite they get away with it because the 'dirty French postcard' thinking works in their favour; here the Hollywood idea of lightweight subtlety is to have Depardieu (totally unaware that his daughter has let it be known he is actually her lover), prevailed upon to play and song 'something French', launch into a spirited version of Thank Heaven For Little Girls. See the original.",positive,
"My Father The Hero used to be my favorite movie when I was Younger. It's about Andre, a divorced french man who wants to take his beautiful daughter (katharine heigl} on a vacation, hoping to get a little closer to her. But of course, Nicole isn't that easy to get along with, she just started puberty, i'm guessing. She is angry and hurt that her father was never there for her and decides to give him a hard time. One day at the beach, Nicole meets handsome Ben, and she makes up a wild story about her and her dad. The whole island gets involved and the movie turns into a hilarious wild entertaining movie. I would give My Father The Hero 8/10",positive,
"The movie was fantastic. If your a fan of Bams' cky videos, jackass, or his show Viva la Bam, you cant help but like it. I have a few friends who aren't fans that enjoyed it, and others who thought it wasn't that great. Those who didn't like it were mostly female friends, they really didn't appreciate some of the crude humor, that personally i think made the movie so funny. I'm pretty sure the entire movie was filmed in Bams home town, which includes a lot of his regularly visited locations. The cast of is made up of all his friends and cky buddies, and also includes some big name pro skateboarders too. The soundtrack is phenomenal, with music by HIM. In my opinion, Haggard has it all. A great plot, characters you'll never see anywhere else. Plenty of humor great music and a cast that was dedicated to the project.",positive,
"I personally found the film to be great. I had it on pre-order for a month and watched it twice the day I got it in the mail, and several time since.. Yes, the time lapses may be a bit much, but the rest of the movie clearly compensates for it. All amature cast, yet the acting was right on for each part. The plot itself is just... haggard! There's no other way to describe it. Who makes a movie about someone getting f**gered!??? BAM, thats who. Genius. Simply genius. Two thumbs up. I would be honored to work with him any day, any time, on any thing.",positive,
"I just finished watching this film. For me, the most outstanding work in this film was the music score. While many silent film scores work very well with their scenes, I feel that this is the best score I've come across. The mutiny scenes in particular worked extremely well.",positive,
"Make sure you make this delightful comedy part of your holiday season! If you admire Dennis Morgan or Barbara Stanwyck, this film is a fun one to watch. They really work well together as you would see in this movie. The whole cast was very entertaining. Since I'm a Dennis Morgan fan, this film was a real treat! But...everyone can enjoy it! Recommended!",positive,
"This 1925 film narrates the story of the mutiny on board battleship Potemkin at the port of Odessa. The movie celebrated the 20th anniversary of the uprising of 1905, which was seen as a direct precursor to the October Revolution of 1917. Following his montage theory, Eisenstein plays with scenes, their duration and the way they combine to emphasize his message, besides he uses different camera shot angles and revolutionary illumination techniques. The ""Odessa Steps"" sequence in Potemkin is one of the most famous in the history of cinema. The baby carriage coming loose down the steps after its mother has been shot was later recreated in Brian d' Palma's The Untouchables. It is clear that the film is one of the best ever made considering its time and how innovative it was though you need a little bit of patience and to be a real movie enthusiast to go through its 70 minutes.",positive,
"Quite a lot has been said about this film and its landmark importance in forming the language of film. If you are interested in film history, to truly understand the innovations Eisenstein brings to the medium you might try viewing Potemkin along side most any film made before it (those of D.W. Griffith offer a good contrast). It should be allowed that Eisenstein was not the only montage theorist and the principles of montage editing would likely have been discovered by another given time. However, even today, few directors have approached the skill with which Eisenstein created meaning through the combination of images at such an early point in the evolution of the medium.  If you are not interested in that sort of thing, Potemkin is still one of the most beautiful and moving films ever made. You should see it, buy it, and tatoo it to your chest.",positive,
